issue,project,url,estimate,closed,labels,milestone
Python 3 support,piffle,https://api.github.com/repos/Princeton-CDH/piffle/issues/6,,2018-05-02 18:55:54+00:00,,
refactor image client class to store image specifications as numbers/dicts rather than strings,piffle,https://api.github.com/repos/Princeton-CDH/piffle/issues/2,,2016-09-01 21:31:52+00:00,,
set up wagtail,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/183,,2020-01-07 16:17:47+00:00,chore,v3.0
support display of grad PMs on student affiliates page,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/172,2.0,2019-09-05 18:08:45+00:00,,Fall 2019 updates
skip links should appear when focused,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/169,1.0,2019-08-29 20:04:31+00:00,accessibility,Fall 2019 updates
add image alts for event featured images,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/168,0.0,2019-08-29 20:28:29+00:00,accessibility,Fall 2019 updates
add link titles for event cards,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/167,1.0,2019-08-22 18:25:51+00:00,accessibility,Fall 2019 updates
add text-shadow to landing page headings,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/166,0.0,2019-08-29 19:58:57+00:00,accessibility,Fall 2019 updates
make main nav fully keyboard-accessible,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/165,3.0,2019-09-05 14:43:04+00:00,accessibility,Fall 2019 updates
support customized project page staff lists,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/164,2.0,2019-09-03 16:30:38+00:00,,Fall 2019 updates
display list of associated grants on project pages,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/163,2.0,2019-09-05 15:57:58+00:00,enhancement,Fall 2019 updates
"second-level nav items don't respect ""show in nav"" checkbox",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/162,1.0,2019-09-05 14:26:14+00:00,bug,Fall 2019 updates
adjust content priority values in sitemap,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/160,1.0,2019-08-29 18:50:10+00:00,,Fall 2019 updates
"As a Content Editor, I want to add text content to the events page so that I can add context to the list of events.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/159,1.0,2019-09-05 16:03:40+00:00,enhancement,Fall 2019 updates
support embedding cosponsorship form,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/158,,2019-08-29 19:59:04+00:00,chore,Fall 2019 updates
